"filename", "language", "HTML", "JavaScript", "PHP", "Markdown", "CSS", "SCSS", "JSON", "Less", "XML", "comment", "blank", "total"
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\README.md", "Markdown", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8, 16
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\css\animcircles.css", "CSS", 0, 0, 0, 0, 123, 0, 0, 0, 0, 6, 20, 149
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\css\bglines.css", "CSS", 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 29, 260
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\css\hint.css", "CSS", 0, 0, 0, 0, 398, 0, 0, 0, 0, 139, 132, 669
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\css\spantooltips.css", "CSS", 0, 0, 0, 0, 135, 0, 0, 0, 0, 9, 17, 161
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\css\style.css", "CSS", 0, 0, 0, 0, 1010, 0, 0, 0, 0, 59, 189, 1258
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\js\main.js", "JavaScript", 0, 178, 0, 0, 0, 0, 0, 0, 0, 46, 34, 258
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap-awesome\css\all.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap-icons\bootstrap-icons.css", "CSS", 0, 0, 0, 0, 2070, 0, 0, 0, 0, 5, 4, 2079
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap-icons\bootstrap-icons.json", "JSON", 0, 0, 0, 0, 0, 0, 2052, 0, 0, 0, 0, 2052
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap-icons\bootstrap-icons.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap-icons\bootstrap-icons.scss", "SCSS", 0, 0, 0, 0, 0, 2080, 0, 0, 0, 5, 6, 2091
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 3886, 0, 0, 0, 0, 6, 193, 4085
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 0, 3886, 0, 0, 0, 0, 6, 192, 4084
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 518, 0, 0, 0, 0, 14, 65, 597
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-reboot.rtl.css", "CSS", 0, 0, 0, 0, 524, 0, 0, 0, 0, 6, 64, 594
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-utilities.css", "CSS", 0, 0, 0, 0, 4891, 0, 0, 0, 0, 8, 503, 5402
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-utilities.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-utilities.rtl.css", "CSS", 0, 0, 0, 0, 4887, 0, 0, 0, 0, 6, 500, 5393
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap.css", "CSS", 0, 0, 0, 0, 11136, 0, 0, 0, 0, 24, 897, 12057
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 6
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap.rtl.css", "CSS", 0, 0, 0, 0, 11138, 0, 0, 0, 0, 6, 886, 12030
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap.rtl.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 6
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\js\bootstrap.bundle.js", "JavaScript", 0, 5064, 0, 0, 0, 0, 0, 0, 0, 655, 596, 6315
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\js\bootstrap.bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\js\bootstrap.esm.js", "JavaScript", 0, 3568, 0, 0, 0, 0, 0, 0, 0, 578, 302, 4448
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\js\bootstrap.esm.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\js\bootstrap.js", "JavaScript", 0, 3604, 0, 0, 0, 0, 0, 0, 0, 584, 307, 4495
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\boxicons\css\animations.css", "CSS", 0, 0, 0, 0, 354, 0, 0, 0, 0, 0, 32, 386
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\boxicons\css\boxicons.css", "CSS", 0, 0, 0, 0, 5373, 0, 0, 0, 0, 0, 52, 5425
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\boxicons\css\boxicons.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\boxicons\css\transformations.css", "CSS", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 6, 31
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\boxicons\fonts\boxicons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1660, 0, 0, 1660
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\glightbox\css\glightbox.css", "CSS", 0, 0, 0, 0, 819, 0, 0, 0, 0, 8, 113, 940
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\glightbox\css\glightbox.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\glightbox\js\glightbox.js", "JavaScript", 0, 3074, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3092
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\glightbox\js\glightbox.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\isotope-layout\isotope.pkgd.js", "JavaScript", 0, 2198, 0, 0, 0, 0, 0, 0, 0, 830, 536, 3564
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\isotope-layout\isotope.pkgd.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 1, 12
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\php-email-form\validate.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 0, 0, 5, 11, 86
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\purecounter\purecounter_vanilla.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\remixicon\remixicon.css", "CSS", 0, 0, 0, 0, 2882, 0, 0, 0, 0, 10, 5, 2897
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\remixicon\remixicon.glyph.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\remixicon\remixicon.less", "Less", 0, 0, 0, 0, 0, 0, 0, 2884, 0, 10, 5, 2899
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\remixicon\remixicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8562, 10, 1, 8573
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\remixicon\remixicon.symbol.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 0, 11
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\swiper\swiper-bundle.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 11, 1, 13
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\swiper\swiper-bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 12, 1, 14
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\waypoints\noframework.waypoints.js", "JavaScript", 0, 583, 0, 0, 0, 0, 0, 0, 0, 71, 104, 758
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\css\styles.css", "CSS", 0, 0, 0, 0, 225, 0, 0, 0, 0, 1, 21, 247
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\forms\contact.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 0, 0, 16, 8, 42
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\index.html", "HTML", 944, 0, 0, 0, 0, 0, 0, 0, 0, 53, 162, 1159
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\js\scripts.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\portfolio-details.html", "HTML", 70, 0, 0, 0, 0, 0, 0, 0, 0, 14, 28, 112
"f:\Onix\Pictures\1Progs\source\3ndetz.github.io\test.html", "HTML", 290, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 309
"Total", "-", 1304, 18353, 18, 8, 54526, 2080, 2053, 2884, 10223, 3308, 6066, 100823